sep=,
0,0.65625
1,0.660156
2,0.6875
3,0.71875
4,0.746094
5,0.75
6,0.765625
7,0.765625
8,0.773438
9,0.78125
10,0.789062
11,0.800781
12,0.804688
13,0.804688
14,0.804688
15,0.8125
16,0.8125
17,0.8125
18,0.8125
19,0.828125
20,0.828125
21,0.828125
22,0.828125
23,0.828125
24,0.828125
25,0.828125
26,0.828125
27,0.828125
28,0.828125
29,0.828125
30,0.828125
31,0.828125
32,0.828125
33,0.828125
34,0.828125
35,0.828125
36,0.828125
37,0.828125
38,0.828125
39,0.828125
40,0.828125
41,0.828125
42,0.828125
43,0.828125
44,0.828125
45,0.828125
46,0.828125
47,0.830078
48,0.830078
49,0.830078
50,0.832031
51,0.835938
52,0.835938
53,0.835938
54,0.835938
55,0.835938
56,0.835938
57,0.835938
58,0.835938
59,0.835938
60,0.835938
61,0.835938
62,0.835938
63,0.835938
64,0.835938
65,0.835938
66,0.835938
67,0.835938
68,0.835938
69,0.835938
70,0.835938
71,0.835938
72,0.835938
73,0.835938
74,0.835938
75,0.859375
76,0.859375
77,0.859375
78,0.859375
79,0.859375
80,0.867188
81,0.867188
82,0.867188
83,0.867188
84,0.867188
85,0.867188
86,0.867188
87,0.867188
88,0.867188
89,0.867188
90,0.867188
91,0.867188
92,0.867188
93,0.867188
94,0.867188
95,0.875
96,0.875
97,0.875
98,0.875
99,0.875
100,0.875
101,0.875
102,0.875
103,0.875
104,0.875
105,0.875
106,0.875
107,0.875
108,0.875
109,0.875
110,0.875
111,0.875
112,0.875
113,0.875
114,0.875
115,0.875
116,0.875
117,0.875
118,0.875
119,0.875
120,0.875
121,0.875
122,0.875
123,0.875
124,0.875
125,0.875
126,0.875
127,0.875
128,0.890625
129,0.890625
130,0.890625
131,0.890625
132,0.890625
133,0.90625
134,0.90625
135,0.90625
136,0.90625
137,0.90625
138,0.90625
139,0.90625
140,0.90625
141,0.90625
142,0.90625
143,0.90625
144,0.90625
145,0.90625
146,0.90625
147,0.90625
148,0.90625
149,0.90625
150,0.90625
151,0.90625
152,0.90625
153,0.90625
154,0.90625
155,0.90625
156,0.921875
157,1
