sep=,
0,0.573547
1,0.582611
2,0.591675
3,0.594025
4,0.600647
5,0.610565
6,0.619141
7,0.622253
8,0.62616
9,0.633606
10,0.635742
11,0.639557
12,0.639557
13,0.642365
14,0.644897
15,0.648132
16,0.649261
17,0.650116
18,0.650635
19,0.652039
20,0.652039
21,0.653076
22,0.653259
23,0.653931
24,0.654633
25,0.654724
26,0.65509
27,0.655792
28,0.656067
29,0.656189
30,0.656677
31,0.657318
32,0.659241
33,0.659241
34,0.661438
35,0.661438
36,0.663055
37,0.663055
38,0.664154
39,0.664917
40,0.665192
41,0.665955
42,0.665955
43,0.668152
44,0.668884
45,0.66922
46,0.66922
47,0.672363
48,0.672363
49,0.673279
50,0.674988
51,0.675476
52,0.67868
53,0.67868
54,0.67868
55,0.678925
56,0.678925
57,0.678925
58,0.678925
59,0.678925
60,0.678925
61,0.679138
62,0.679138
63,0.679138
64,0.679474
65,0.679474
66,0.680084
67,0.680084
68,0.680084
69,0.680267
70,0.680267
71,0.681244
72,0.681244
73,0.681244
74,0.681244
75,0.681244
76,0.681244
77,0.681244
78,0.681244
79,0.681244
80,0.681244
81,0.681244
82,0.681244
83,0.681244
84,0.681244
85,0.682037
86,0.682037
87,0.682037
88,0.683685
89,0.684418
90,0.684418
91,0.684418
92,0.684601
93,0.685944
94,0.686188
95,0.686188
96,0.686188
97,0.686188
98,0.686188
99,0.686188
100,0.68634
101,0.68634
102,0.68634
103,0.68634
104,0.68634
105,0.68634
106,0.68634
107,0.68634
108,0.68634
109,0.68634
110,0.68634
111,0.68634
112,0.68634
113,0.68634
114,0.68634
115,0.68634
116,0.686768
117,0.686768
118,0.686768
119,0.686768
120,0.686768
121,0.686768
122,0.686768
123,0.686768
124,0.686768
125,0.686768
126,0.686768
127,0.6875
128,0.687866
129,0.687866
130,0.687866
131,0.687866
132,0.687866
133,0.687866
134,0.687866
135,0.687866
136,0.687866
137,0.687866
138,0.687866
139,0.687866
140,0.687866
141,0.687866
142,0.687866
143,0.687866
144,0.687866
145,0.687866
146,0.687866
147,0.687866
148,0.687866
149,0.687866
150,0.687866
151,0.687866
152,0.687866
153,0.687866
154,0.687866
155,0.687866
156,0.687866
157,0.687866
158,0.687866
159,0.687866
160,0.687866
161,0.687866
162,0.687866
163,0.687866
164,0.687866
165,0.687866
166,0.687866
167,0.687866
168,0.687866
169,0.687866
170,0.687866
171,0.687866
172,0.687866
173,0.687866
174,0.687866
175,0.687866
176,0.687866
177,0.687866
178,0.687866
179,0.687866
180,0.687866
181,0.687866
182,0.687866
183,0.687866
184,0.687866
185,0.687866
